,author,username,retweet_count,tweets,created_at
50,NamdiAzikiwe,Godwin_Godwin3,4,"“Tuna serikali ambayo ina uposhaji mkubwa kwa raia wake, tukianzia kwenye corona walituambia tusichanje na tufanye maombi, yani hawasemi ukweli hatimae madhara yake tuliyaona”. – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/GUEeBn4VEh https://t.co/8fcltiu5WG",2022-10-23 14:08:43
51,NamdiAzikiwe,Godwin_Godwin3,10,"“Katiba itatakiwa iseme mtu yoyote anayepotosha umma awajibishwe, hata kama ni Rais, kipindi cha corona upotoshaji ule uliua watu wengi”. Lazima tuwe nchi inayowajibisha watu wasio na maadili –  @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/GUEeBn4VEh https://t.co/ZnWjVN049d",2022-10-23 14:08:33
52,NamdiAzikiwe,Godwin_Godwin3,11,“Serikali ina upotoshaji mkubwa walisema pesa za corona walizopata watajenga shule lakini mpaka sasa kuna shule za chini ya mti ni nyingi tu na changamoto ya madarasa iko palepale”. Uwajibikaji ni kitu adimu sana nchini – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/g46xUlXs7H,2022-10-23 14:08:30
53,,donnats13,0,Temen w abis kena corona puyengg bgt kayanya yah sampe chat sm w pake 2 akun yg berbeda?!? Gws sin #temenkukontenku https://t.co/5vZTXIdg22,2022-10-23 14:08:05
54,,fstn21,0,Tapi kalau emang videonya baru anak2 generasi corona ga sih kaya malu2in aja sekolah online 3 tahun banyak gaya,2022-10-23 13:59:25
55,,prewttysun,0,@tanyakanrl apalagi ini.. corona ini udh kaya minuman aja banyak varian nya😭,2022-10-23 13:56:34
56,ChangeTanzania,Godwin_Godwin3,21,"“Tuna serikali ambayo ina uposhaji mkubwa kwa raia wake, tukianzia kwenye corona walituambia tusichanje na tufanye maombi, yani hawasemi ukweli hatimae madhara yake tuliyaona”. – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/xrIF2n5flx https://t.co/MAie8eBuQd",2022-10-23 13:52:48
57,ChangeTanzania,Godwin_Godwin3,24,"“Katiba itatakiwa iseme mtu yoyote anayepotosha umma awajibishwe, hata kama ni Rais, kipindi cha corona upotoshaji ule uliua watu wengi”. Lazima tuwe nchi inayowajibisha watu wasio na maadili –  @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/xrIF2nnozF https://t.co/ZiEq4ZA5sn",2022-10-23 13:52:35
58,ChangeTanzania,Godwin_Godwin3,29,“Serikali ina upotoshaji mkubwa walisema pesa za corona walizopata watajenga shule lakini mpaka sasa kuna shule za chini ya mti ni nyingi tu na changamoto ya madarasa iko palepale”. Uwajibikaji ni kitu adimu sana nchini – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/87Y4r3Y4ID,2022-10-23 13:52:34
59,asumsico,jhndaaa,2123,"🚨BREAKING NEWS🚨

Menteri Kesehatan Budi Gunadi Sadikin mengungkapkan virus Corona subvarian Omicron XBB sudah ditemukan di Indonesia. https://t.co/srf8uPuWin",2022-10-23 13:46:51
60,,Popbela_com,0,Jangan sampai nggak bersih! https://t.co/GhHN37q9WD,2022-10-23 13:40:08
61,,exrain10,0,"2. terus abangnya nanya lagi
🧔 : sma nya dmn neng? 
🧕 : di ** bang
🧔 : ohhh, pernah beli sama abang?
aku awalnya diem, nginget2 apakah aku pernah beli apa engga. akhirnya aku jawab : 
🧕 : pernah. dulu waktu sebelum corona sering beli pas pulang sekolah. soalnya kan sore",2022-10-23 13:37:22
62,,wonderiian,0,Waktu corona sih. Sebelum corona tuh hidup gue kek tanpa beban kali yak. Tapi pas corona.... wow katjaw dah asli https://t.co/CMpKgOPiDk,2022-10-23 13:36:30
63,,Rhiswanto,0,@collegemenfess Nyesel karna pas gw kuliah malah ada corona. Jadi gw gak nangkep setiap mata kuliahnya. Padahal disitu gw minat banget di jurusan itu anjr. Dan skrg udh smester 7 tapi pengetahuan di jurusan itu dikit,2022-10-23 13:35:31
64,,FattahSyahid,0,"@convomf kangen banget, jaman-jaman nya awal corona 😔 https://t.co/FxbWIuRN6k",2022-10-23 13:32:03
65,DeletedWiki,Corona_HanOwO,1,Orang planet,2022-10-23 13:29:26
66,Iam_jac5,Godwin_Godwin3,16,"“Katiba itatakiwa iseme mtu yoyote anayepotosha umma awajibishwe, hata kama ni Rais, kipindi cha corona upotoshaji ule uliua watu wengi”. Lazima tuwe nchi inayowajibisha watu wasio na maadili –  @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/1db4uVtxtp https://t.co/NCVVpqjYez",2022-10-23 13:27:29
